fromNode	toNode	weight	direction	fromAltName	toAltName
A8YNE9	A8YFC4	0.15758656880372	undirected	NA	NA
A8YNE9	A0A2H6BXJ4	0.146733183245336	undirected	NA	NA
A8YNE9	I4IRH5	0.164446418008845	undirected	NA	NA
A8YNE9	D7R028	0.0669030198193826	undirected	NA	NA
A8YNE9	A8Y9R5	0.212209988803288	undirected	NA	NA
A8YNE9	A8YBN9	0.127012668745832	undirected	NA	NA
A8YNE9	A8YFC5	0.0644933888496825	undirected	NA	NA
A8YNE9	A8YBT0	0.135509697535814	undirected	NA	NA
A8YNE9	A8YBW7	0.0863241401771886	undirected	NA	NA
A8YNE9	A8YGJ0	0.151723884828228	undirected	NA	NA
A8YNE9	A8YEW8	0.060720942913016	undirected	NA	NA
A8YNE9	I4FI90	0.0794278341617197	undirected	NA	NA
A8YNE9	A8YAS8	0.125498986705711	undirected	NA	NA
A8YNE9	A8YHF7	0.140760061946808	undirected	NA	NA
A8YNE9	A8YJM9	0.159835851823094	undirected	NA	NA
A8YNE9	A8YGP3	0.160005802963342	undirected	NA	NA
A8YNE9	A8Y9K4	0.138389928995562	undirected	NA	NA
A8YNE9	A8YDF8	0.0718701147571109	undirected	NA	NA
A8YNE9	A8YCI8	0.131044222138601	undirected	NA	NA
A8YNE9	A0A0F6U5U2	0.107568486442314	undirected	NA	NA
A8YNE9	B0JHZ3	0.0338507662656395	undirected	NA	NA
A8YNE9	A8YFF3	0.231938534748422	undirected	NA	NA
A8YNE9	A8YHY4	0.0759185955817266	undirected	NA	NA
A8YNE9	A8YNI8	0.0697677107003935	undirected	NA	NA
A8YNE9	A8YK69	0.1856182939032	undirected	NA	NA
A8YNE9	A8YHN8	0.121776758320341	undirected	NA	NA
A8YNE9	L8NYY8	0.0389718410310605	undirected	NA	NA
A8YNE9	A8YIW1	0.0740103967874702	undirected	NA	NA
A8YNE9	A8YM76	0.0874362853905799	undirected	NA	NA
A8YNE9	B0JY40	0.158273401970165	undirected	NA	NA
A8YNE9	A0A1X9L111	0.164333894597989	undirected	NA	NA
A8YNE9	A0A2H6BMG2	0.0461244071909431	undirected	NA	NA
A8YNE9	A0A2I9CT38	0.149415327402937	undirected	NA	NA
A8YNE9	I4IPN5	0.0612627899198679	undirected	NA	NA
A8YNE9	A8YAU9	0.13958465441739	undirected	NA	NA
A8YNE9	H2CY14	0.0866055366026108	undirected	NA	NA
A8YNE9	B0JHZ9	0.106474287645716	undirected	NA	NA
A8YNE9	A8YIW4	0.087464191158889	undirected	NA	NA
A8YNE9	L8NYV9	0.0423675215813929	undirected	NA	NA
A8YNE9	L7E9W2	0.0691395987760131	undirected	NA	NA
A8YNE9	A8YLT1	0.0808585903290803	undirected	NA	NA
A8YNE9	A8YCC1	0.0867386302015727	undirected	NA	NA
A8YNE9	A8YLB7	0.0695829206069418	undirected	NA	NA
A8YNE9	A8YNC1	0.0882803965132954	undirected	NA	NA
A8YNE9	A0A1X9L0A4	0.0460158197383303	undirected	NA	NA
A8YNE9	A8YFE9	0.182489275419451	undirected	NA	NA
A8YNE9	A8YGV8	0.143755137879432	undirected	NA	NA
A8YNE9	A0A0A1VZW6	0.123749940424663	undirected	NA	NA
A8YNE9	B0JY35	0.0807271685710178	undirected	NA	NA
A8YNE9	A0A1X9L7X4	0.0499601249836348	undirected	NA	NA
A8YNE9	A8YDC0	0.151419090629209	undirected	NA	NA
A8YNE9	A0A139GFW8	0.0708607104385614	undirected	NA	NA
A8YNE9	A8YGY3	0.18147175966425	undirected	NA	NA
A8YNE9	A0A1X9L733	0.0537936382632691	undirected	NA	NA
A8YNE9	A8YEX6	0.0964572605687635	undirected	NA	NA
A8YNE9	A8YAM9	0.0930582256187764	undirected	NA	NA
A8YNE9	A0A1V4BUS7	0.0762803236186662	undirected	NA	NA
A8YNE9	A8YDD3	0.215731426792314	undirected	NA	NA
A8YNE9	A8YFQ7	0.0862024284050492	undirected	NA	NA
A8YNE9	A8YFZ8	0.102096694199134	undirected	NA	NA
A8YNE9	A8YAD8	0.174147862755207	undirected	NA	NA
A8YNE9	A8YGU7	0.120468739464264	undirected	NA	NA
A8YNE9	A8YMX5	0.110060156886029	undirected	NA	NA
A8YNE9	A0A1X9L4S7	0.0586205332060277	undirected	NA	NA
A8YNE9	A0A0F6U256	0.0604834162774871	undirected	NA	NA
A8YNE9	A8YLL2	0.0866883092724807	undirected	NA	NA
A8YNE9	B3DFB2	0.0812230366668687	undirected	NA	NA
A8YNE9	A8YF85	0.0545355908510827	undirected	NA	NA
A8YNE9	A8YDM8	0.11157000061597	undirected	NA	NA
A8YNE9	A8YIB7	0.119749693272495	undirected	NA	NA
A8YNE9	I4F700	0.0671786817753095	undirected	NA	NA
A8YNE9	I4G3L6	0.0629326117373187	undirected	NA	NA
A8YNE9	I4HFL4	0.0681808344421354	undirected	NA	NA
A8YNE9	A8YET2	0.129983370471792	undirected	NA	NA
A8YNE9	I4GQX2	0.101343641987291	undirected	NA	NA
A8YNE9	A8YJ74	0.0410417677858804	undirected	NA	NA
A8YNE9	A0A2H6L2Z8	0.0698164797297129	undirected	NA	NA
A8YNE9	A8YNC0	0.069776723170255	undirected	NA	NA
A8YNE9	A0A2H6L1A4	0.143816114187881	undirected	NA	NA
A8YNE9	A0A2I9CZS4	0.0960469390022537	undirected	NA	NA
A8YNE9	I4H3Z0	0.022888257134148	undirected	NA	NA
A8YNE9	A0A1V4BUW0	0.113467292122353	undirected	NA	NA
A8YNE9	A0A2H6BU26	0.0897451278468328	undirected	NA	NA
A8YNE9	A8YEE9	0.0577537847120382	undirected	NA	NA
A8YNE9	B0JKV4	0.135309327517914	undirected	NA	NA
A8YNE9	A0A1X9L768	0.0596602121232561	undirected	NA	NA
A8YNE9	A0A1X9LDZ4	0.105389855281262	undirected	NA	NA
A8YNE9	A8YP01	0.105570917198121	undirected	NA	NA
A8YNE9	A8YML3	0.0874617213469356	undirected	NA	NA
A8YNE9	A8YH10	0.0300955426970257	undirected	NA	NA
A8YNE9	A8YFM4	0.0747719531661103	undirected	NA	NA
A8YNE9	A0A1X9L7N1	0.115970426957878	undirected	NA	NA
A8YNE9	A8YIH5	0.112611882283191	undirected	NA	NA
A8YNE9	L8NYV1	0.0746321552690176	undirected	NA	NA
A8YNE9	A0A2H6L4Z5	0.0957910837876294	undirected	NA	NA
A8YNE9	A0A1E4QJU8	0.0462013080013356	undirected	NA	NA
A8YNE9	A8YNC9	0.0536876939432793	undirected	NA	NA
A8YNE9	A0A0A1VQE5	0.0426363824862732	undirected	NA	NA
A8YNE9	A8YKV0	0.123635200511415	undirected	NA	NA
A8YNE9	A8YBB2	0.0674930203921303	undirected	NA	NA
A8YNE9	A8YMJ4	0.0943274455758729	undirected	NA	NA
A8YNE9	A8YIB3	0.0835382041554178	undirected	NA	NA
A8YNE9	A0A1E4QHV7	0.198096811641921	undirected	NA	NA
A8YNE9	A0A0A1VWX8	0.218411906097285	undirected	NA	NA
A8YNE9	A8YCU0	0.088213286176822	undirected	NA	NA
A8YNE9	A8YKI1	0.100055681322445	undirected	NA	NA
A8YNE9	A8YB75	0.0968564510297941	undirected	NA	NA
A8YNE9	A8YGX0	0.0399293547781195	undirected	NA	NA
A8YNE9	A8YFF2	0.0490561628890015	undirected	NA	NA
A8YNE9	A8YM16	0.155411541099801	undirected	NA	NA
A8YNE9	A0A0A1W090	0.224703975148231	undirected	NA	NA
A8YNE9	A8YK66	0.0530659036721166	undirected	NA	NA
A8YNE9	A8YNF0	0.111941230967244	undirected	NA	NA
A8YNE9	A8YK01	0.0351648898005631	undirected	NA	NA
A8YNE9	A8YH68	0.0647264974730633	undirected	NA	NA
A8YNE9	A8YJJ1	0.16005682471225	undirected	NA	NA
A8YNE9	A8YCJ2	0.0438104852686843	undirected	NA	NA
A8YNE9	A0A1E4Q978	0.0914588410804446	undirected	NA	NA
A8YNE9	A8Y9N5	0.105786100249761	undirected	NA	NA
A8YNE9	L7E0C0	0.253643449495417	undirected	NA	NA
A8YNE9	A0A1X9L1S3	0.0554606154733832	undirected	NA	NA
A8YNE9	B0JW98	0.102901906150572	undirected	NA	NA
A8YNE9	L7E3V2	0.185559761964526	undirected	NA	NA
A8YNE9	B0JM75	0.023195505725369	undirected	NA	NA
A8YNE9	A8YJZ7	0.0471965837472506	undirected	NA	NA
A8YNE9	A0A0A1VYS9	0.0593168299986647	undirected	NA	NA
A8YNE9	A0A1X9LF05	0.229771342290135	undirected	NA	NA
A8YNE9	A0A2H6BQB7	0.113939691745119	undirected	NA	NA
A8YNE9	A0A1X9LMB9	0.0803349815194179	undirected	NA	NA
A8YNE9	A8YL46	0.071857438454305	undirected	NA	NA
A8YNE9	A8YFA7	0.165411138971526	undirected	NA	NA
A8YNE9	A8YI67	0.202376248995493	undirected	NA	NA
A8YNE9	A0A2H6KZC3	0.0993335679028199	undirected	NA	NA
A8YNE9	A0A139GGB3	0.0938303789792349	undirected	NA	NA
A8YNE9	A8YH28	0.062404784816514	undirected	NA	NA
A8YNE9	A0A0F6U884	0.10554164450546	undirected	NA	NA
A8YNE9	A8YB96	0.164311143759103	undirected	NA	NA
A8YNE9	L8P194	0.0808413940815607	undirected	NA	NA
A8YNE9	A8YAH6	0.144115171793595	undirected	NA	NA
A8YNE9	A0A0F6U1D8	0.0744766167805816	undirected	NA	NA
A8YNE9	A0A139GL88	0.0524114809462686	undirected	NA	NA
A8YNE9	A8YMV3	0.120840007054827	undirected	NA	NA
A8YNE9	A0A1X9LLZ9	0.0651691909347426	undirected	NA	NA
A8YNE9	A0A1X9L915	0.105022894381418	undirected	NA	NA
A8YNE9	A8YI71	0.0950573311593479	undirected	NA	NA
A8YNE9	A0A1X9LFM6	0.12314506428447	undirected	NA	NA
A8YNE9	A0A1X9LDR3	0.0919419696729861	undirected	NA	NA
A8YNE9	A0A1X9LN26	0.115097085514954	undirected	NA	NA
A8YNE9	A0A0A1VQW1	0.0955586871743435	undirected	NA	NA
A8YNE9	A0A1E4Q9M2	0.0488411817251427	undirected	NA	NA
A8YNE9	L7EE55	0.0429046515483872	undirected	NA	NA
A8YNE9	L7EBV6	0.0509804286952739	undirected	NA	NA
A8YNE9	I4G4A9	0.076060231473287	undirected	NA	NA
A8YNE9	A0A2H6L8E8	0.0966478143634572	undirected	NA	NA
A8YNE9	A0A2H6BN10	0.0750434956605681	undirected	NA	NA
A8YNE9	A0A0A1VPI1	0.0625333133275802	undirected	NA	NA
A8YNE9	A0A2H6L4D5	0.193378127188734	undirected	NA	NA
A8YNE9	A0A0F6U889	0.0734061803389285	undirected	NA	NA
A8YNE9	A8YIA1	0.0708727528527538	undirected	NA	NA
A8YNE9	A8YG39	0.135325932252099	undirected	NA	NA
A8YNE9	A8YDE1	0.186882466721895	undirected	NA	NA
A8YNE9	A0A2I9CI30	0.126380969035893	undirected	NA	NA
A8YNE9	A0A0F6RJI7	0.118143000045891	undirected	NA	NA
A8YNE9	A0A1X9LJ47	0.103546586938219	undirected	NA	NA
A8YNE9	A0A0F6U3V4	0.0617268072835376	undirected	NA	NA
A8YNE9	A8YJ99	0.110818766483635	undirected	NA	NA
A8YNE9	A0A0A1W2M7	0.0458954806571972	undirected	NA	NA
A8YNE9	A8YL72	0.0383529628901334	undirected	NA	NA
A8YNE9	A0A1E4QEP9	0.0610034993131608	undirected	NA	NA
A8YNE9	A0A1E4QCJ9	0.135237399428297	undirected	NA	NA
A8YNE9	A8YGB9	0.0942662067227945	undirected	NA	NA
A8YNE9	A8YFN0	0.0712739161972223	undirected	NA	NA
A8YNE9	A8YH48	0.0811929385812958	undirected	NA	NA
A8YNE9	A8YI65	0.0562552974524761	undirected	NA	NA
A8YNE9	A8YB97	0.078032851047164	undirected	NA	NA
A8YNE9	B3DFA5	0.322222590159272	undirected	NA	NA
A8YNE9	A8YN10	0.0685079126667994	undirected	NA	NA
A8YNE9	I4HCP1	0.0572841332396447	undirected	NA	NA
A8YNE9	A0A0A1W0E9	0.131022436148621	undirected	NA	NA
A8YNE9	A0A1E4Q9W5	0.0747635125331919	undirected	NA	NA
A8YNE9	A8YFJ5	0.198249255260465	undirected	NA	NA
A8YNE9	A0A0A1VRL8	0.023591251651029	undirected	NA	NA
A8YNE9	A0A1V4BVU8	0.0914991992361289	undirected	NA	NA
A8YNE9	I4GZZ2	0.117407421246837	undirected	NA	NA
A8YNE9	A8YG06	0.0805597003005612	undirected	NA	NA
A8YNE9	A8YKH9	0.105550354985726	undirected	NA	NA
A8YNE9	A0A0A1VR47	0.0387404162736363	undirected	NA	NA
A8YNE9	A0A0A1VTL7	0.105806512305295	undirected	NA	NA
A8YNE9	A8YHN6	0.115765531416491	undirected	NA	NA
A8YNE9	A0A1X9L404	0.074168823068995	undirected	NA	NA
A8YNE9	A8YCI2	0.0500883310386963	undirected	NA	NA
A8YNE9	A0A0A1VPZ2	0.0700338887596597	undirected	NA	NA
A8YNE9	A0A0A1VY60	0.11583118395876	undirected	NA	NA
A8YNE9	A0A2H6L835	0.0962121369677111	undirected	NA	NA
A8YNE9	A8YEI4	0.151133102326368	undirected	NA	NA
A8YNE9	A0A1X9LIB1	0.0593659923875754	undirected	NA	NA
A8YNE9	A0A0F6U2Y3	0.0885585080662373	undirected	NA	NA
A8YNE9	A8YGB0	0.0490576285494134	undirected	NA	NA
A8YNE9	A8YL36	0.0255962194217049	undirected	NA	NA
A8YNE9	S3J9V5	0.0806736058944145	undirected	NA	NA
A8YNE9	A0A1X9LG73	0.21290057443526	undirected	NA	NA
A8YNE9	S3JG07	0.123101125478351	undirected	NA	NA
A8YNE9	A0A2H6BS40	0.0866813794746305	undirected	NA	NA
A8YNE9	A0A0F6U6E5	0.188867043284416	undirected	NA	NA
A8YNE9	B0JGF6	0.107723931131136	undirected	NA	NA
A8YNE9	A8YFA6	0.0584518594315552	undirected	NA	NA
A8YNE9	L8NZ48	0.137370566091616	undirected	NA	NA
A8YNE9	B0JN25	0.124355994456601	undirected	NA	NA
A8YNE9	A0A2H6BX98	0.0559211049851656	undirected	NA	NA
A8YNE9	A8YBA4	0.113192497195961	undirected	NA	NA
A8YNE9	A8YHY8	0.0433484612287068	undirected	NA	NA
A8YNE9	A8YGG5	0.0987630069254337	undirected	NA	NA
A8YNE9	A0A1E4QFE7	0.0813091052359376	undirected	NA	NA
A8YNE9	A0A139GFY2	0.118817337750746	undirected	NA	NA
A8YNE9	A8YLA6	0.0675141378502371	undirected	NA	NA
A8YNE9	A8YKY6	0.102890106498361	undirected	NA	NA
A8YNE9	A0A139GHB2	0.199048848915806	undirected	NA	NA
A8YNE9	I4FGU1	0.118150110412638	undirected	NA	NA
A8YNE9	A8YDE4	0.130207812409597	undirected	NA	NA
A8YNE9	I4G2E2	0.109357743783012	undirected	NA	NA
A8YNE9	A8YA30	0.0869434155642727	undirected	NA	NA
A8YNE9	A0A1X9LBH5	0.172659749030956	undirected	NA	NA
A8YNE9	A0A1E4Q9D5	0.103694862719266	undirected	NA	NA
A8YNE9	A0A1X9LDV6	0.0592335256030248	undirected	NA	NA
A8YNE9	A8YGM2	0.100746883375632	undirected	NA	NA
A8YNE9	A0A0F6U353	0.0491747669276068	undirected	NA	NA
A8YNE9	A8YN37	0.0887418170600157	undirected	NA	NA
A8YNE9	A0A2H6BSS5	0.0628930920517563	undirected	NA	NA
A8YNE9	A8YDR7	0.0842460310480118	undirected	NA	NA
A8YNE9	A8YCZ6	0.0594991176301906	undirected	NA	NA
A8YNE9	A0A1X9LER8	0.0682540013081314	undirected	NA	NA
A8YNE9	A0A2H6L592	0.085708634882388	undirected	NA	NA
A8YNE9	A8YNB7	0.0328542715925277	undirected	NA	NA
A8YNE9	A0A0F6RJ88	0.0909764873032189	undirected	NA	NA
A8YNE9	A0A0A1VPK1	0.0582397466853202	undirected	NA	NA
A8YNE9	A0A2H6L0E9	0.0699731303234802	undirected	NA	NA
A8YNE9	A0A1X9L267	0.0839372270711275	undirected	NA	NA
A8YNE9	I4H4L1	0.204915292203967	undirected	NA	NA
A8YNE9	I4GMF5	0.0998228699762559	undirected	NA	NA
A8YNE9	A0A1X9L4H5	0.0577496190388808	undirected	NA	NA
A8YNE9	A0A0A1VVL4	0.0627615932998866	undirected	NA	NA
A8YNE9	A0A0A1VS36	0.194435527501542	undirected	NA	NA
A8YNE9	A8YGE6	0.132086732125557	undirected	NA	NA
A8YNE9	A8YKY5	0.021757031996817	undirected	NA	NA
A8YNE9	A0A0A1VT96	0.031789149353179	undirected	NA	NA
A8YNE9	A8YEN8	0.0702216127390158	undirected	NA	NA
A8YNE9	A0A0A1W0Q3	0.100755090961932	undirected	NA	NA
A8YNE9	A8YJV6	0.0675173168940766	undirected	NA	NA
A8YNE9	A0A139GN37	0.0667952802380338	undirected	NA	NA
A8YNE9	L7E5K5	0.0578410210953509	undirected	NA	NA
A8YNE9	A8YFT3	0.131790879145025	undirected	NA	NA
A8YNE9	A8Y9Y2	0.073853327009247	undirected	NA	NA
A8YNE9	B0JM93	0.118167003463961	undirected	NA	NA
A8YNE9	I4HFG0	0.0811699431879458	undirected	NA	NA
A8YNE9	A0A139GS52	0.0711236600842233	undirected	NA	NA
A8YNE9	I4F837	0.0452216467418138	undirected	NA	NA
A8YNE9	A8YH74	0.0650897053359226	undirected	NA	NA
A8YNE9	A0A139GJ62	0.0558402694273525	undirected	NA	NA
A8YNE9	A8YJW1	0.131501911966317	undirected	NA	NA
A8YNE9	A0A1V4BMX7	0.054999210703573	undirected	NA	NA
A8YNE9	A0A0A1VU81	0.101728605137454	undirected	NA	NA
A8YNE9	A8YI18	0.0415054485011638	undirected	NA	NA
A8YNE9	A0A2H6BYV0	0.106249559517472	undirected	NA	NA
A8YNE9	A0A0A1VQA9	0.0373810770560611	undirected	NA	NA
A8YNE9	A0A1X9LEG3	0.0515170390162973	undirected	NA	NA
A8YNE9	A0A2I9CFL0	0.178040348380643	undirected	NA	NA
A8YNE9	A0A2H6BUW5	0.0471626407204559	undirected	NA	NA
A8YNE9	L7EDZ8	0.158158793647439	undirected	NA	NA
A8YNE9	A8YKH2	0.149202466197336	undirected	NA	NA
A8YNE9	A0A2H6BQN4	0.0898746219067944	undirected	NA	NA
A8YNE9	A8YJ33	0.0362108150998998	undirected	NA	NA
A8YNE9	A0A139GNR7	0.0771826948629588	undirected	NA	NA
A8YNE9	I4FQI3	0.0682502290325746	undirected	NA	NA
A8YNE9	A0A0A1VZ12	0.108707081451326	undirected	NA	NA
A8YNE9	A0A1E4QIL5	0.0905572255472689	undirected	NA	NA
A8YNE9	A8YJA2	0.0481755758269673	undirected	NA	NA
A8YNE9	A0A0A1W036	0.0919362712613299	undirected	NA	NA
A8YNE9	A0A2H6BY23	0.108548923771971	undirected	NA	NA
A8YNE9	A0A0A1VQ24	0.0536334166835569	undirected	NA	NA
A8YNE9	A0A0A1VZ63	0.108929214179914	undirected	NA	NA
A8YNE9	B0JN36	0.0602689983301448	undirected	NA	NA
A8YNE9	S3JB46	0.0548288203946549	undirected	NA	NA
A8YNE9	A0A2H6BW79	0.0926723435513087	undirected	NA	NA
A8YFC4	A0A2H6BXJ4	0.216449272118417	undirected	NA	NA
A8YFC4	I4IRH5	0.180713745168557	undirected	NA	NA
A8YFC4	D7R028	0.0849244496622567	undirected	NA	NA
A8YFC4	A8Y9R5	0.215714887529229	undirected	NA	NA
A8YFC4	A8YBN9	0.196994889599465	undirected	NA	NA
A8YFC4	A8YFC5	0.221830749260274	undirected	NA	NA
A8YFC4	A8YBT0	0.153021417654816	undirected	NA	NA
A8YFC4	A8YBW7	0.224503056112152	undirected	NA	NA
A8YFC4	A8YGJ0	0.190581984112329	undirected	NA	NA
A8YFC4	A8YEW8	0.180008932468975	undirected	NA	NA
A8YFC4	I4FI90	0.203712555243642	undirected	NA	NA
A8YFC4	A8YAS8	0.168718241948272	undirected	NA	NA
A8YFC4	A8YHF7	0.210197736976419	undirected	NA	NA
A8YFC4	A8YJM9	0.124856480814017	undirected	NA	NA
A8YFC4	A8YGP3	0.122862240589913	undirected	NA	NA
A8YFC4	A8Y9K4	0.155504655102885	undirected	NA	NA
A8YFC4	A8YDF8	0.122323626377998	undirected	NA	NA
A8YFC4	A8YCI8	0.207049588803302	undirected	NA	NA
A8YFC4	A0A0F6U5U2	0.189203803143168	undirected	NA	NA
A8YFC4	B0JHZ3	0.102319733900525	undirected	NA	NA
A8YFC4	A8YFF3	0.207047026731233	undirected	NA	NA
A8YFC4	A8YHY4	0.164236760584849	undirected	NA	NA
A8YFC4	A8YNI8	0.193090542602757	undirected	NA	NA
A8YFC4	A8YK69	0.234853640770994	undirected	NA	NA
A8YFC4	L8NV67	0.0780431312463903	undirected	NA	NA
A8YFC4	A8YHN8	0.228318752380753	undirected	NA	NA
