fromNode	toNode	weight	direction	fromAltName	toAltName
I4G3X8	I4HKZ1	0.0354746724433126	undirected	NA	NA
I4G3X8	A0A2H6BNP5	0.035226950348592	undirected	NA	NA
I4G3X8	A0A139GPN4	0.0605300127886112	undirected	NA	NA
I4G3X8	A0A0A1VVS2	0.0285476290272194	undirected	NA	NA
I4G3X8	A0A0A1W0G9	0.0814849703393405	undirected	NA	NA
I4G3X8	A8YGK2	0.029290192072409	undirected	NA	NA
I4G3X8	A8YL55	0.0409342819486721	undirected	NA	NA
I4G3X8	A0A1E4QCZ9	0.0218063017519888	undirected	NA	NA
I4G3X8	L8NUK0	0.035495997697092	undirected	NA	NA
I4G3X8	A0A2H6L3T7	0.0594562220231966	undirected	NA	NA
I4G3X8	A8YDQ9	0.0267950286273642	undirected	NA	NA
I4G3X8	A8YGR0	0.0489887038559475	undirected	NA	NA
I4G3X8	I4GSK4	0.0453984753919448	undirected	NA	NA
I4G3X8	A8YB57	0.0356726694888166	undirected	NA	NA
I4G3X8	A0A1X9L1W8	0.0365518263277513	undirected	NA	NA
I4G3X8	A0A1V4BU19	0.041496368802914	undirected	NA	NA
I4G3X8	I4I540	0.0591957251188904	undirected	NA	NA
I4G3X8	I4HXV0	0.0290243952464142	undirected	NA	NA
I4G3X8	A0A139GS44	0.0236132443836346	undirected	NA	NA
I4G3X8	L8NXV3	0.0299732853255276	undirected	NA	NA
I4G3X8	A0A1X9LEU5	0.0351208704329545	undirected	NA	NA
I4G3X8	B0JVN3	0.0534611453473929	undirected	NA	NA
I4G3X8	A8YCI5	0.0404555350234372	undirected	NA	NA
I4G3X8	A8YCK4	0.0501277106389109	undirected	NA	NA
I4G3X8	A0A1E4QDW5	0.0222632356415462	undirected	NA	NA
I4G3X8	A0A1X9L338	0.0559011869601657	undirected	NA	NA
I4G3X8	A0A1X9LBN9	0.0309758652075754	undirected	NA	NA
I4G3X8	A0A0A1VVA9	0.027210546548771	undirected	NA	NA
I4G3X8	A8YHW8	0.0512795354099469	undirected	NA	NA
I4G3X8	B0JNX7	0.0211292752675304	undirected	NA	NA
I4G3X8	A0A0A1W296	0.0232046577848453	undirected	NA	NA
I4G3X8	A0A1E4QGK5	0.0277159508791048	undirected	NA	NA
I4G3X8	I4G306	0.0209172894699445	undirected	NA	NA
I4G3X8	A0A1X9LHY2	0.0477700961009296	undirected	NA	NA
I4G3X8	A0A1X9LDL9	0.0225275648103122	undirected	NA	NA
I4G3X8	A0A0A1VV75	0.0618490829585675	undirected	NA	NA
I4G3X8	A0A2H6L060	0.0333881693446148	undirected	NA	NA
I4G3X8	A0A0A1VWZ1	0.0324278453825346	undirected	NA	NA
I4G3X8	A0A1E4Q9F7	0.0207074315118304	undirected	NA	NA
L8NU22	I4HKZ1	0.099184512961443	undirected	NA	NA
L8NU22	A0A2H6KYZ3	0.0214787564614536	undirected	NA	NA
L8NU22	A0A2H6BNP5	0.132555816276406	undirected	NA	NA
L8NU22	A0A0F6U232	0.0546405424994727	undirected	NA	NA
L8NU22	A8Y9R6	0.0252617076399698	undirected	NA	NA
L8NU22	A0A139GPN4	0.0430016394397717	undirected	NA	NA
L8NU22	I4HSQ4	0.0205311348246279	undirected	NA	NA
L8NU22	A8YMN6	0.0220058690749745	undirected	NA	NA
L8NU22	A0A0A1VVS2	0.0321472713659494	undirected	NA	NA
L8NU22	A0A0A1W0G9	0.0520194349129795	undirected	NA	NA
L8NU22	A8YAA3	0.0303421059100321	undirected	NA	NA
L8NU22	A8YGK2	0.0563605052584742	undirected	NA	NA
L8NU22	A8YF61	0.0322012399394893	undirected	NA	NA
L8NU22	A8YNL6	0.0379925784615797	undirected	NA	NA
L8NU22	A0A1X9L617	0.0204577333676654	undirected	NA	NA
L8NU22	A8YDS1	0.0312601013552653	undirected	NA	NA
L8NU22	A8YAW3	0.0410839824904949	undirected	NA	NA
L8NU22	A8YG05	0.0297144643996623	undirected	NA	NA
L8NU22	A0A1X9LHW5	0.0288332735994558	undirected	NA	NA
L8NU22	A8YL55	0.0372945788159253	undirected	NA	NA
L8NU22	A0A1E4QCZ9	0.0965546380739708	undirected	NA	NA
L8NU22	A0A1X9LAG9	0.0470769124581499	undirected	NA	NA
L8NU22	A0A2H6L3T7	0.0572916463329356	undirected	NA	NA
L8NU22	A0A0F6RNB5	0.0377258263066377	undirected	NA	NA
L8NU22	A8YDQ9	0.0802270150206304	undirected	NA	NA
L8NU22	A8YBM7	0.0471382612884579	undirected	NA	NA
L8NU22	Q9RNB8	0.0354300896577855	undirected	NA	NA
L8NU22	I4FUK6	0.0826918626149247	undirected	NA	NA
L8NU22	A0A0A1VYS1	0.0327035393041893	undirected	NA	NA
L8NU22	A8YAN5	0.0397453593748723	undirected	NA	NA
L8NU22	A0A0F6U1I9	0.042932546024683	undirected	NA	NA
L8NU22	A8YII1	0.0279525590327737	undirected	NA	NA
L8NU22	A0A2H6BLJ3	0.0653210736540785	undirected	NA	NA
L8NU22	A0A139GPA2	0.0338463106729057	undirected	NA	NA
L8NU22	A0A0A1VPP5	0.0250872601229728	undirected	NA	NA
L8NU22	A0A1V4BU19	0.0323460330175663	undirected	NA	NA
L8NU22	I4IUP0	0.0393114268043437	undirected	NA	NA
L8NU22	A0A139GLQ3	0.0249235644029045	undirected	NA	NA
L8NU22	A0A1X9LE24	0.0280571204899722	undirected	NA	NA
L8NU22	A8YDR8	0.0391649092086635	undirected	NA	NA
L8NU22	A8YHP5	0.0303975359728763	undirected	NA	NA
L8NU22	I4HXV0	0.0587797447385233	undirected	NA	NA
L8NU22	A0A1X9L7J9	0.046988003470649	undirected	NA	NA
L8NU22	A0A1X9LAA4	0.0568249419851062	undirected	NA	NA
L8NU22	A0A1X9L233	0.0291518269714137	undirected	NA	NA
L8NU22	A0A1X9LBE6	0.0557519232769674	undirected	NA	NA
L8NU22	A8YL47	0.0399017999796491	undirected	NA	NA
L8NU22	A8YDX1	0.0653684132950607	undirected	NA	NA
L8NU22	A0A0F6RJQ5	0.0326976087065337	undirected	NA	NA
L8NU22	A8YKZ7	0.0223309530220545	undirected	NA	NA
L8NU22	A8YJC2	0.0401451373700881	undirected	NA	NA
L8NU22	A0A1E4QJ81	0.043292039543446	undirected	NA	NA
L8NU22	A0A1X9L0X6	0.0764256863908529	undirected	NA	NA
L8NU22	A8YHC0	0.0679220564460254	undirected	NA	NA
L8NU22	L8NYU4	0.0277151323907202	undirected	NA	NA
L8NU22	A8YM02	0.0250414110205196	undirected	NA	NA
L8NU22	A8YCI5	0.0809869600588003	undirected	NA	NA
L8NU22	A8YMS9	0.0467813469457812	undirected	NA	NA
L8NU22	A0A1X9LDA1	0.0239082365497941	undirected	NA	NA
L8NU22	A8YCK4	0.0338333716201834	undirected	NA	NA
L8NU22	A8YLV0	0.0224793514127911	undirected	NA	NA
L8NU22	A8YBJ5	0.0328656217882353	undirected	NA	NA
L8NU22	A0A1E4QDW5	0.0373123819121784	undirected	NA	NA
L8NU22	I4G7D5	0.0205714052834603	undirected	NA	NA
L8NU22	A0A1X9L6S1	0.0681818675648136	undirected	NA	NA
L8NU22	B0JFR2	0.0620274194808873	undirected	NA	NA
L8NU22	A0A1X9LBN9	0.026373960731331	undirected	NA	NA
L8NU22	A0A0A1VVA9	0.0383673706814191	undirected	NA	NA
L8NU22	A8YHW8	0.0597521516629878	undirected	NA	NA
L8NU22	B0JNX7	0.045198448588521	undirected	NA	NA
L8NU22	A8YIJ7	0.0271903804317845	undirected	NA	NA
L8NU22	A8YAQ5	0.0209754023329174	undirected	NA	NA
L8NU22	A0A1E4QGK5	0.145181224088592	undirected	NA	NA
L8NU22	A8YHN4	0.0610963363179196	undirected	NA	NA
L8NU22	I4G306	0.0580328920241933	undirected	NA	NA
L8NU22	A8YID3	0.040376915715828	undirected	NA	NA
L8NU22	A0A0A1VNX2	0.0310302786004875	undirected	NA	NA
L8NU22	A0A2H6BXV9	0.103584753928624	undirected	NA	NA
L8NU22	A0A1X9LHY2	0.048911993847175	undirected	NA	NA
L8NU22	A0A0F6U6Q8	0.022820122884562	undirected	NA	NA
L8NU22	A0A1X9LDL9	0.0235523779622597	undirected	NA	NA
L8NU22	A0A1E4QL86	0.0490490569419599	undirected	NA	NA
L8NU22	A0A2H6L441	0.0366374675866405	undirected	NA	NA
L8NU22	A0A0F6RKG9	0.0591139238890419	undirected	NA	NA
L8NU22	A0A1V4BTA3	0.0751052697291317	undirected	NA	NA
L8NU22	A0A0F6U490	0.045627948738565	undirected	NA	NA
L8NU22	I4IMD2	0.0674483971827715	undirected	NA	NA
L8NU22	A0A0A1VV75	0.113633268786962	undirected	NA	NA
L8NU22	A0A2H6L060	0.0329934214081948	undirected	NA	NA
L8NU22	A0A2H6L7Y6	0.0368310584841014	undirected	NA	NA
L8NU22	A0A0A1VWZ1	0.0319321826031719	undirected	NA	NA
L8NU22	A0A1E4Q9F7	0.036808630735296	undirected	NA	NA
A8YEP8	I4HKZ1	0.14811579305742	undirected	NA	NA
A8YEP8	A0A2H6KYZ3	0.021321059769599	undirected	NA	NA
A8YEP8	A0A2H6BNP5	0.0345932440605662	undirected	NA	NA
A8YEP8	A0A0F6U232	0.0419788666788448	undirected	NA	NA
A8YEP8	A8Y9R6	0.0495745841135226	undirected	NA	NA
A8YEP8	A0A139GPN4	0.0284946519866112	undirected	NA	NA
A8YEP8	I4HSQ4	0.042723673483144	undirected	NA	NA
A8YEP8	A8YJ06	0.0224434915461472	undirected	NA	NA
A8YEP8	A8YF86	0.0581079089873549	undirected	NA	NA
A8YEP8	A8YD63	0.0619547987934212	undirected	NA	NA
A8YEP8	A8YAA3	0.0630139004201081	undirected	NA	NA
A8YEP8	A8YFB6	0.0637527543512997	undirected	NA	NA
A8YEP8	A8YGK2	0.0663855563375864	undirected	NA	NA
A8YEP8	A8YNL6	0.0252005843796458	undirected	NA	NA
A8YEP8	A0A1X9L617	0.0480268437581901	undirected	NA	NA
A8YEP8	A8YDS1	0.0208118343395611	undirected	NA	NA
A8YEP8	A8YG05	0.0431086312287941	undirected	NA	NA
A8YEP8	L7E0R5	0.0443567631595168	undirected	NA	NA
A8YEP8	A0A1X9LHW5	0.0349705068411349	undirected	NA	NA
A8YEP8	A0A2H6L2Y7	0.025544672117075	undirected	NA	NA
A8YEP8	A8YL55	0.0289163094826447	undirected	NA	NA
A8YEP8	A0A1E4QCZ9	0.0428356273096647	undirected	NA	NA
A8YEP8	A8YK29	0.0220506119528052	undirected	NA	NA
A8YEP8	A0A1X9L7A7	0.0333968269293142	undirected	NA	NA
A8YEP8	A8YD62	0.0605044719704451	undirected	NA	NA
A8YEP8	A0A2H6L3T7	0.0365773724583685	undirected	NA	NA
