name	degree
P60122	11
Q8BTW3	2
Q8VBV7	4
Q8R2M8	10
A0A0R4J0B4	8
Q91VT1	8
E9Q0Y4	10
Q8C108	18
Q3U4A3	16
P97346	18
Q504M2	24
Q6PGF3	12
G5E850	2
Q8R3K3	41
Q3URT1	23
Q9CWJ9	14
A0A0J9YTR2	27
P98083	43
Q9CQ00	25
Q99MS8	40
Q8VDV3	27
Q3ULJ0	39
Q80UY1	37
Q8BY35	45
Q3UMU9	42
Q569Y3	26
P97465	27
D3Z2E3	39
Q640Q5	36
B2CY77	2
Q3TL79	1
Q8BJM5	2
E0CX20	7
Q91V12	7
Q8JZQ2	1
Q9JJY4	2
Q91YT7	34
G3X934	15
P62141	6
Q91YZ8	8
Q80Y14	2
Q9CX97	6
Q8R3C6	25
P22091	2
Q6ZPE2	4
Q60931	3
Q9Z2I9	7
Q8R323	1
Q3TDF8	5
Q8CI75	3
Q9WU84	4
Q9DBN5	7
Q91ZV7	2
A0JP53	3
Q8R404	2
Q6NVG1	10
Q61189	37
Q05BF0	10
Q3TUQ7	17
Q6NZM8	5
E9PVU9	17
Q6DID3	3
G3X9Y5	24
O70422	3
Q9EQ80	9
Q2M2Q8	30
D3YXK2	27
Q61705	34
Q99KD5	44
P05201	1
Q3TN35	1
Q3TCZ2	6
Q9JLQ0	6
Q9D8M4	6
Q9ESC4	5
Q8R409	5
D3YY42	8
E9PWI6	5
Q3UDE2	4
F6ZBR8	2
E9Q2H1	2
Q5PRF0	4
A2AGL5	8
Q8JZR2	9
Q9DCC4	8
A0A0R4J1N8	10
Q8R3D1	14
E9Q7A5	11
Q8R0K9	6
Q3TC56	2
A0A0R4J1H1	38
Q505D1	3
Z4YLQ1	10
P70698	1
Q3U430	1
Q921W2	24
Q6PHZ2	10
Q9R060	24
Q6P3A9	12
Q923U0	7
Q80YR4	18
Q9JID9	19
Q8BY60	13
Q3UQ26	12
Q6PB44	7
Q8BJ90	12
B9EKQ1	41
A0A0J9YUV5	18
B7ZC19	11
A0A0J9YV20	6
Q8BTV2	14
F7CXI4	32
Q8BH50	28
Q8R2N2	1
A0A0A6YXR6	6
Q5SSI6	1
O70439	1
Q6J4Q0	1
Q8C2A2	7
O08583	2
Q922J3	3
F8WJC1	3
Q09200	1
Q8C7K6	3
A2A709	27
B9EJ54	22
Q9WUM3	12
Q99LG2	20
Q04690	20
Q3TDI5	9
Q62383	2
O08688	11
Q52KI9	4
G8JL40	1
Q3U6Q1	1
P70362	16
Q3UUU4	16
Q8K006	10
Q8C2T9	1
Q99LL5	1
Q3UMQ2	1
Q3TKX4	22
Q3U5I9	21
Q3TXN0	21
Q6NXW0	23
Q9CQ01	11
Q8BJR2	5
Q9CZ28	2
Q6PBC0	12
Q78PG9	15
O35343	3
Q9D7J4	3
D3Z6J0	2
A0A0R4J1F8	1
Q3T9X3	4
A6H5X4	3
Q3UI98	2
Q148R8	4
A0A0R4J114	12
P51949	2
Q69Z38	3
Q3SXD3	1
Q3TR60	1
Q9CY45	19
Q3UHX0	2
Q3TM85	5
Q6ZQC2	2
F6XDW8	1
F6S5I0	4
Q3TJ84	1
Q8VDU9	1
Q6PDM1	1
A2A6Q5	1
