,a_name,b_name,a.b.
MM.blue,P05064,MM.blue,-0.914471960100754
MM.purple,P10639,MM.purple,0.858309004934387
MM.turquoise,Q6IWE2,MM.turquoise,-0.967191868924445
MM.red,P52480,MM.red,0.877638161499686
MM.turquoise1,O08997,MM.turquoise,0.739421568136947
MM.blue1,Q3U9A8,MM.blue,0.817884585004706
MM.turquoise2,Q3UJR8,MM.turquoise,0.975001274185487
MM.green,P62869,MM.green,-0.565678172391036
MM.blue2,Q3U6N7,MM.blue,0.845275111470862
MM.grey,Q6GT24,MM.grey,-0.353103030226621
MM.blue3,P48036,MM.blue,0.657935405078147
MM.blue4,P17742,MM.blue,0.956448739513789
MM.yellow,P18760,MM.yellow,-0.86313289070394
MM.greenyellow,P20152,MM.greenyellow,0.964998704682786
MM.greenyellow1,Q3TFD9,MM.greenyellow,0.849709154158267
MM.blue5,P62908,MM.blue,0.929019899653909
MM.turquoise3,P48024,MM.turquoise,0.910781288683802
MM.yellow1,Q50HX0,MM.yellow,-0.918719328077656
MM.blue6,P15532,MM.blue,0.803440783041877
MM.black,B0LAA9,MM.black,-0.895985161073974
MM.green1,A6ZI44,MM.green,0.801851017152575
MM.turquoise4,Q3THB4,MM.turquoise,0.858297594262439
MM.turquoise5,Q3TCI7,MM.turquoise,0.953564019707675
MM.turquoise6,P35700,MM.turquoise,0.429600607799323
MM.turquoise7,E9PZF0,MM.turquoise,0.803037716574902
MM.red1,Q5SW88,MM.red,0.795148306638195
MM.purple1,Q91XV3,MM.purple,0.661920018783127
MM.purple2,P99027,MM.purple,0.882556706391208
MM.brown,P67778,MM.brown,-0.862690521716202
MM.greenyellow2,P10126,MM.greenyellow,-0.953280439889428
MM.red2,P70349,MM.red,0.850825103407259
MM.greenyellow3,P63038,MM.greenyellow,-0.954844391927511
MM.purple3,P80314,MM.purple,0.502853751742616
MM.turquoise8,Q61599,MM.turquoise,0.823203265245052
MM.red3,Q9D1G1,MM.red,0.965184087985783
MM.yellow2,P62889,MM.yellow,0.809509177852049
MM.yellow3,Q9CQ65,MM.yellow,0.900573274030538
MM.turquoise9,D3Z645,MM.turquoise,0.96451178783735
MM.turquoise10,G3X9L6,MM.turquoise,0.989922798451648
MM.blue7,P70296,MM.blue,-0.544380793586083
MM.tan,P51150,MM.tan,0.93724213750771
MM.lightcyan,Q3UGS0,MM.lightcyan,0.985465647644875
MM.turquoise11,P56480,MM.turquoise,0.840984229700778
MM.blue8,P17182,MM.blue,0.901937523687903
MM.blue9,P10107,MM.blue,-0.84640540461345
MM.red4,Q64433,MM.red,0.878921816162769
MM.purple4,Q3UDR2,MM.purple,0.987093557708136
MM.blue10,O35639,MM.blue,0.72172070767484
MM.yellow4,A0A0R4J1L2,MM.yellow,0.734833486093362
MM.turquoise12,P11440,MM.turquoise,0.940170742564369
MM.turquoise13,P62245,MM.turquoise,0.851278787313122
MM.red5,P40142,MM.red,0.742621096929745
MM.blue11,P62962,MM.blue,0.913585998978998
MM.yellow5,Q3UBP6,MM.yellow,0.913169687269112
MM.turquoise14,Q8BGS2,MM.turquoise,0.937025527866005
MM.greenyellow4,Q61598,MM.greenyellow,-0.877434011311375
MM.green2,Q99LX0,MM.green,0.823922827459998
MM.pink,P99024,MM.pink,0.882345274128692
MM.red6,P00493,MM.red,0.826617125639403
MM.blue12,Q9WVA4,MM.blue,0.809947304958663
MM.turquoise15,Q64674,MM.turquoise,-0.977281136668258
MM.blue13,P68372,MM.blue,0.82918842252451
MM.tan1,P68037,MM.tan,-0.830871998604439
MM.grey1,Q3TIH9,MM.grey,0.724527687400905
MM.black1,Q9D819,MM.black,-0.969921476157618
MM.yellow6,O35900,MM.yellow,-0.764304207859835
MM.yellow7,Q05816,MM.yellow,0.955957054479825
MM.greenyellow5,S4R1W1,MM.greenyellow,-0.902018180974065
MM.greenyellow6,P27773,MM.greenyellow,-0.962185843902444
MM.purple5,P09411,MM.purple,0.859248152476467
MM.turquoise16,P62259,MM.turquoise,-0.97603925131173
MM.tan2,P51859,MM.tan,-0.765424579627176
MM.turquoise17,Q9DB05,MM.turquoise,0.952820246043267
MM.blue14,Q9CPW4,MM.blue,0.640669238044382
MM.green3,Q3UC32,MM.green,0.740522087951231
MM.magenta,P84078,MM.magenta,-0.693737635497141
MM.turquoise18,P60335,MM.turquoise,-0.972457407607805
MM.turquoise19,Q06185,MM.turquoise,0.823842375103534
MM.blue15,Q9D1L9,MM.blue,-0.603031265801705
MM.brown1,Q543K9,MM.brown,0.903055556669586
MM.greenyellow7,P14211,MM.greenyellow,-0.898640573160076
MM.turquoise20,Q3U2G2,MM.turquoise,-0.850640529079846
MM.blue16,P62082,MM.blue,0.755723483151436
MM.brown2,P68040,MM.brown,0.90351788949762
MM.blue17,Q9Z1Z2,MM.blue,0.554139306206406
MM.turquoise21,P42932,MM.turquoise,0.968260624593196
MM.turquoise22,Q3UKQ2,MM.turquoise,-0.822965997343132
MM.pink1,Q3TWJ4,MM.pink,0.694085888519106
MM.green4,Q80T06,MM.green,0.599991240279529
MM.grey60,Q9CQ43,MM.grey60,0.70829428020014
MM.blue18,P97351,MM.blue,0.826801749551913
MM.turquoise23,Q9R1P4,MM.turquoise,0.937925757124949
MM.greenyellow8,Q01853,MM.greenyellow,-0.741145103422451
MM.turquoise24,Q9DB20,MM.turquoise,0.782593620637129
MM.blue19,A0A087WQE6,MM.blue,0.472810168140398
MM.greenyellow9,Q7TMI0,MM.greenyellow,-0.871136154373432
MM.black2,Q9DAS9,MM.black,0.662974449618751
MM.blue20,Q9QZD9,MM.blue,0.805971110055518
MM.turquoise25,Q99JI6,MM.turquoise,0.835236309140126
MM.blue21,Q9R1T2,MM.blue,0.828917286286248
MM.blue22,Q3UM23,MM.blue,-0.871611095406235
MM.black3,Q9R0P3,MM.black,0.839039827977643
MM.yellow8,Q921M7,MM.yellow,0.923492454864094
MM.turquoise26,P62270,MM.turquoise,0.875648580589835
MM.blue23,P10854,MM.blue,0.91056283124575
MM.turquoise27,O35129,MM.turquoise,0.774944495818537
MM.blue24,P48962,MM.blue,0.772804263248662
MM.turquoise28,A0A0N4SVB8,MM.turquoise,0.912494506173848
MM.turquoise29,P08249,MM.turquoise,0.944489763862434
MM.greenyellow10,Q05BN2,MM.greenyellow,-0.814345341250358
MM.blue25,A2BE93,MM.blue,0.785807824382131
MM.greenyellow11,P16045,MM.greenyellow,-0.880723901036231
MM.blue26,P35979,MM.blue,0.799590815978902
MM.turquoise30,P05213,MM.turquoise,0.98197151231155
MM.brown3,P54227,MM.brown,-0.931742133028643
MM.blue27,Q8C2K0,MM.blue,0.887664835250568
MM.blue28,Q3TF87,MM.blue,0.740906617598499
MM.green5,P68373,MM.green,-0.870853043618631
MM.pink2,Q9D8D6,MM.pink,-0.724683466463674
MM.brown4,O89054,MM.brown,0.977963610196404
MM.blue29,Q9WVJ2,MM.blue,0.963158301729288
MM.blue30,O70251,MM.blue,0.900489469499476
MM.blue31,Q9JMA1,MM.blue,0.775237403203327
MM.yellow9,Q9CQX2,MM.yellow,0.777270844734311
MM.brown5,Q04447,MM.brown,-0.848529605270428
MM.black4,Q9Z1Q5,MM.black,-0.889471740137339
MM.red7,P00375,MM.red,0.853762823157039
MM.brown6,Q08619,MM.brown,0.947225249124405
MM.turquoise31,Q9CPX4,MM.turquoise,0.966380868489023
MM.blue32,D3YTQ9,MM.blue,-0.775157777095755
MM.turquoise32,Q9CY64,MM.turquoise,0.811991375244851
MM.turquoise33,Q91VH6,MM.turquoise,0.981517410406517
MM.pink3,Q9DCL9,MM.pink,0.731317710572884
MM.red8,Q5M9N6,MM.red,0.697869080416848
MM.turquoise34,Q9D6F9,MM.turquoise,0.994252998667316
MM.tan3,P62918,MM.tan,0.794743024227576
MM.black5,P63101,MM.black,-0.904099586306927
MM.green6,Q921R2,MM.green,0.916251792348997
MM.black6,Q9JIK5,MM.black,-0.970838263886807
MM.magenta1,P60122,MM.magenta,-0.813766110596552
MM.black7,Q3TRH3,MM.black,-0.918326659413571
MM.brown7,A1L0U3,MM.brown,-0.903833417190182
MM.turquoise35,Q7TMM9,MM.turquoise,0.9751328281262
MM.yellow10,Q3UAS2,MM.yellow,0.731032147466677
MM.magenta2,G5E850,MM.magenta,0.856474151077414
MM.red9,P97807,MM.red,0.883422265828032
MM.red10,Q9EPB4,MM.red,-0.543787529052565
MM.purple6,P62196,MM.purple,0.879104252297957
MM.grey2,Q8BSL7,MM.grey,-0.617377808958982
MM.yellow11,Q9WV98,MM.yellow,-0.576776476822145
MM.brown8,P51410,MM.brown,0.789415955495641
MM.blue33,P62830,MM.blue,0.981590424881933
MM.yellow12,P84096,MM.yellow,0.874666493769059
MM.turquoise36,Q5M8M3,MM.turquoise,0.806815360395237
MM.green7,Q99PT1,MM.green,-0.897290914412688
MM.magenta3,Q9CWJ9,MM.magenta,-0.894142555205531
MM.brown9,A0A068BFR3,MM.brown,0.917608913129952
MM.brown10,Q922F4,MM.brown,-0.873764725309364
MM.green8,P57780,MM.green,-0.661640277111669
