	MCs in vivo	MCs in vitro	Total MCs	MCs release
S-control-1	0.357156874	0.34931397	0.706470845	49.44492373
S-control-2	0.358169726	0.347537134	0.705706861	49.2466708
S-control-3	0.368867973	0.363236125	0.732104099	49.61536562
S-NHPS-L-1	0.366272541	0.491822917	0.858095458	57.3156416
S-NHPS-L-2	0.343103555	0.471268267	0.814371822	57.86893088
S-NHPS-L-3	0.334684224	0.482271245	0.81695547	59.03274573
S-NHPS-H-1	0.355447687	0.678831316	1.034279002	65.63328793
S-NHPS-H-2	0.354181622	0.638867134	0.993048756	64.33391414
S-NHPS-H-3	0.34652193	0.582401394	0.928923324	62.69639042
F-control-1	0.18875045	0.196560239	0.385310689	51.01344056
F-control-2	0.182529197	0.197149388	0.379678585	51.92533782
F-control-3	0.178039331	0.185689718	0.363729049	51.05166015
F-NHPS-L-1	0.1802109	0.274316792	0.454527693	60.35205261
F-NHPS-L-2	0.175075433	0.285225581	0.460301014	61.96501259
F-NHPS-L-3	0.179213152	0.288918697	0.46813185	61.71737674
F-NHPS-H-1	0.175955799	0.320064537	0.496020336	64.52649502
F-NHPS-H-2	0.174283103	0.295870494	0.470153597	62.93060303
F-NHPS-H-3	0.175427579	0.303597	0.479024579	63.3781675
